このファイルは OpenJDK・OracleJDK・Temurin の issue_ids.txt を比較し、三製品で一致しない JDK 番号と各 Fix Version/s を一覧化したものです。

JDK         | OpenJDK | OracleJDK | Temurin | Fix Version/s
------------+---------+-----------+---------+------------------------------------------------------------------------------------
JDK-4741194 | Y       | Y         | N       | 21
JDK-7101667 | Y       | Y         | N       | 21
JDK-7175396 | Y       | Y         | N       | 21
JDK-8213059 | Y       | Y         | N       | 21
JDK-8221633 | Y       | Y         | N       | 22
JDK-8273131 | Y       | Y         | N       | 22
JDK-8284363 | Y       | Y         | N       | 21
JDK-8285944 | Y       | Y         | N       | 21
JDK-8286070 | N       | N         | Y       | Issueページなし
JDK-8286496 | N       | N         | Y       | Issueページなし
JDK-8286503 | N       | N         | Y       | Issueページなし
JDK-8287404 | N       | N         | Y       | Issueページなし
JDK-8287411 | N       | N         | Y       | Issueページなし
JDK-8288158 | Y       | Y         | N       | 22
JDK-8288436 | N       | N         | Y       | Issueページなし
JDK-8288516 | N       | N         | Y       | Issueページなし
JDK-8290626 | Y       | Y         | N       | 21
JDK-8293554 | N       | N         | Y       | Issueページなし
JDK-8293598 | N       | N         | Y       | Issueページなし
JDK-8293717 | N       | N         | Y       | Issueページなし
JDK-8293734 | N       | N         | Y       | Issueページなし
JDK-8293742 | N       | N         | Y       | Issueページなし
JDK-8294323 | N       | N         | Y       | Issueページなし
JDK-8294474 | N       | N         | Y       | Issueページなし
JDK-8294735 | Y       | Y         | N       | 21
JDK-8295304 | N       | N         | Y       | Issueページなし
JDK-8295687 | N       | N         | Y       | Issueページなし
JDK-8295723 | N       | N         | Y       | Issueページなし
JDK-8296383 | Y       | Y         | N       | 21
JDK-8296565 | N       | N         | Y       | Issueページなし
JDK-8296581 | N       | N         | Y       | Issueページなし
JDK-8296676 | N       | N         | Y       | Issueページなし
JDK-8296684 | N       | N         | Y       | Issueページなし
JDK-8296692 | N       | N         | Y       | Issueページなし
JDK-8296832 | N       | N         | Y       | Issueページなし
JDK-8297371 | N       | N         | Y       | Issueページなし
JDK-8297856 | N       | N         | Y       | Issueページなし
JDK-8298310 | N       | N         | Y       | Issueページなし
JDK-8298456 | Y       | Y         | N       | 21
JDK-8298667 | N       | N         | Y       | Issueページなし
JDK-8299129 | N       | N         | Y       | Issueページなし
JDK-8300285 | N       | N         | Y       | Issueページなし
JDK-8300544 | Y       | Y         | N       | 21
JDK-8300546 | Y       | Y         | N       | 21
JDK-8300596 | N       | N         | Y       | Issueページなし
JDK-8302345 | Y       | Y         | N       | 21
JDK-8302475 | N       | N         | Y       | Issueページなし
JDK-8302483 | N       | N         | Y       | Issueページなし
JDK-8303376 | N       | N         | Y       | Issueページなし
JDK-8303841 | Y       | Y         | N       | 21
JDK-8303912 | N       | N         | Y       | 21
JDK-8303928 | Y       | Y         | N       | 21
JDK-8304294 | Y       | Y         | N       | 21
JDK-8304460 | N       | N         | Y       | Issueページなし
JDK-8304468 | N       | N         | Y       | Issueページなし
JDK-8305312 | N       | N         | Y       | Issueページなし
JDK-8305977 | Y       | Y         | N       | 22
JDK-8306607 | N       | N         | Y       | 22
JDK-8306764 | Y       | Y         | N       | 21
JDK-8307319 | Y       | Y         | N       | 21
JDK-8307383 | N       | N         | Y       | Issueページなし
JDK-8308111 | Y       | Y         | N       | 21
JDK-8308113 | Y       | Y         | N       | 21
JDK-8308204 | N       | N         | Y       | Issueページなし
JDK-8308240 | Y       | Y         | N       | 21
JDK-8308456 | Y       | Y         | N       | 21
JDK-8308682 | N       | N         | Y       | Issueページなし
JDK-8308988 | Y       | Y         | N       | 21
JDK-8309070 | N       | Y         | N       | 22
JDK-8309105 | Y       | Y         | N       | 21
JDK-8309859 | Y       | Y         | N       | 22
JDK-8309966 | N       | N         | Y       | Issueページなし
JDK-8310067 | Y       | Y         | N       | 22
JDK-8310200 | Y       | Y         | N       | 21
JDK-8311198 | N       | Y         | N       | 22
JDK-8311208 | N       | N         | Y       | Issueページなし
JDK-8311565 | Y       | Y         | N       | 22
JDK-8311680 | N       | N         | Y       | Issueページなし
JDK-8311681 | N       | N         | Y       | Issueページなし
JDK-8311682 | N       | N         | Y       | Issueページなし
JDK-8312081 | N       | Y         | N       | 22
