JDK         | OpenJDK | OracleJDK | Temurin
------------+---------+-----------+--------
JDK-4200096 | N       | N         | Y      
JDK-4512626 | N       | N         | Y      
JDK-4737887 | N       | N         | Y      
JDK-4825182 | N       | N         | Y      
JDK-4842457 | N       | N         | Y      
JDK-4912623 | N       | N         | Y      
JDK-4934362 | N       | N         | Y      
JDK-4958969 | N       | N         | Y      
JDK-6176679 | N       | N         | Y      
JDK-6187113 | N       | N         | Y      
JDK-6218123 | N       | N         | Y      
JDK-6241286 | N       | N         | Y      
JDK-6245410 | N       | N         | Y      
JDK-6257207 | N       | N         | Y      
JDK-6355999 | N       | Y         | N      
JDK-6381945 | N       | N         | Y      
JDK-6441827 | N       | N         | Y      
JDK-6453901 | N       | N         | Y      
JDK-6513512 | N       | N         | Y      
JDK-6557145 | N       | N         | Y      
JDK-6595142 | N       | N         | Y      
JDK-6603771 | N       | N         | Y      
JDK-6714245 | N       | N         | Y      
JDK-6753661 | N       | N         | Y      
JDK-6788475 | N       | N         | Y      
JDK-6817009 | N       | N         | Y      
JDK-6914801 | N       | N         | Y      
JDK-6928542 | Y       | N         | Y      
JDK-6995195 | N       | N         | Y      
JDK-7016187 | N       | N         | Y      
JDK-7026262 | N       | N         | Y      
JDK-7030853 | N       | N         | Y      
JDK-7033677 | N       | N         | Y      
JDK-7065228 | N       | N         | Y      
JDK-7093322 | N       | N         | Y      
JDK-7093691 | N       | N         | Y      
JDK-7124527 | N       | N         | Y      
JDK-7154070 | N       | N         | Y      
JDK-7167356 | N       | N         | Y      
JDK-7169951 | N       | N         | Y      
JDK-7176515 | N       | N         | Y      
JDK-8014021 | N       | N         | Y      
JDK-8015831 | N       | N         | Y      
JDK-8026369 | N       | N         | Y      
JDK-8027682 | N       | N         | Y      
JDK-8029301 | N       | N         | Y      
JDK-8029370 | N       | N         | Y      
JDK-8038146 | N       | N         | Y      
JDK-8040793 | N       | N         | Y      
JDK-8041447 | N       | N         | Y      
JDK-8041676 | N       | N         | Y      
JDK-8043179 | N       | N         | Y      
JDK-8043251 | N       | N         | Y      
JDK-8051725 | N       | N         | Y      
JDK-8054022 | N       | N         | Y      
JDK-8057586 | N       | N         | Y      
JDK-8064931 | N       | N         | Y      
JDK-8068824 | N       | N         | Y      
JDK-8068925 | N       | N         | Y      
JDK-8071693 | N       | N         | Y      
JDK-8081474 | N       | N         | Y      
JDK-8081507 | N       | N         | Y      
JDK-8132995 | N       | N         | Y      
JDK-8133773 | N       | N         | Y      
JDK-8143900 | N       | N         | Y      
JDK-8144891 | N       | N         | Y      
JDK-8146132 | N       | N         | Y      
JDK-8151413 | N       | N         | Y      
JDK-8151531 | N       | N         | Y      
JDK-8153837 | N       | N         | Y      
JDK-8155191 | N       | N         | Y      
JDK-8155259 | N       | N         | Y      
JDK-8159023 | N       | N         | Y      
JDK-8159337 | N       | N         | Y      
JDK-8160404 | N       | N         | Y      
JDK-8163229 | N       | N         | Y      
JDK-8168469 | N       | N         | Y      
JDK-8170945 | N       | N         | Y      
JDK-8171156 | N       | N         | Y      
JDK-8171221 | N       | N         | Y      
JDK-8172106 | N       | N         | Y      
JDK-8173709 | N       | N         | Y      
JDK-8177352 | N       | N         | Y      
JDK-8177418 | N       | N         | Y      
JDK-8178806 | N       | N         | Y      
JDK-8179502 | N       | N         | Y      
JDK-8180266 | N       | N         | Y      
JDK-8180387 | N       | N         | Y      
JDK-8182621 | N       | N         | Y      
JDK-8184444 | N       | N         | Y      
JDK-8189338 | N       | N         | Y      
JDK-8191565 | N       | N         | Y      
JDK-8193547 | N       | N         | Y      
JDK-8194048 | N       | N         | Y      
JDK-8200610 | N       | N         | Y      
JDK-8201516 | N       | N         | Y      
JDK-8202110 | N       | N         | Y      
JDK-8202931 | N       | N         | Y      
JDK-8204550 | N       | N         | Y      
JDK-8205129 | N       | N         | Y      
JDK-8205592 | N       | N         | Y      
JDK-8207017 | N       | N         | Y      
JDK-8208077 | N       | N         | Y      
JDK-8208470 | N       | N         | Y      
