issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8185862,21.0.x,needs_review,classlib,,要確認,,,"AWT Assertion Failure in ::GetDIBits(hBMDC, hBM, 0, 1, 0, gpBitmapInfo, 0) 'awt_Win32GraphicsDevice.cpp', at line 185",client-libs,java.awt,"intermittent,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok-next,jdk22u-fix-request,jdk22u-fix-yes",23
JDK-8225377,21.0.x,needs_review,compiler_tools,,要確認,,,type annotations are not visible to javac plugins across compilation boundaries,tools,javac,"javac-plugin,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,type-annotations",22
JDK-8279016,21.0.x,excluded,runtime_core,,対応不要,keywords=\bshenandoah\b; labels=gc-shenandoah,gc_related,JFR Leak Profiler is broken with Shenandoah,hotspot,jfr,"amazon-interest,gc-shenandoah,jdk21u-fix-request,jdk21u-fix-yes,redhat-interest",24
JDK-8284620,unknown,needs_review,runtime_core,,要確認,,,CodeBuffer may leak _overflow_arena,hotspot,compiler,"jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk18u-fix-SQE-OK,jdk18u-fix-request,jdk18u-fix-yes,jdk8u-fix-request,jdk8u-fix-yes,oracle-triage-19,redhat-interest,sap-interest",19
JDK-8294160,unknown,needs_review,runtime_core,,要確認,,,misc crash dump improvements,hotspot,runtime,"hs_err,jdk17u-fix-request,jdk17u-fix-yes",20
JDK-8299813,21.0.x,excluded,interop,test_infra,対応不要,"keywords=jtreg,test; labels=noreg-self",doc_or_test,java/nio/channels/DatagramChannel/Disconnect.java fails with jtreg test timeout due to lost datagram,core-libs,java.nio,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk23u-fix-SQE-ok,jdk23u-fix-request,jdk23u-fix-yes,noreg-self",24
JDK-8309754,unknown,needs_review,security,performance_regression,要確認,,,"java/security/cert/CertPathValidator/OCSP/OCSPTimeout.java failed with ""Expected to pass, found 1 soft fail exceptions""",security-libs,java.security,"CPU25_07-defer-SQE-OK,CPU25_07-defer-approved,intermittent,tier2",tbd
JDK-8315097,21.0.x,excluded,runtime_core,,対応不要,keywords=test; labels=noreg-self,doc_or_test,Rename createJavaProcessBuilder,hotspot,test,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self",22
JDK-8320001,21.0.x,needs_review,compiler_tools,performance_regression,要確認,,,javac crashes while adding type annotations to the return type of a constructor,tools,javac,"amazon-interest,conformance,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,regression,tck-red-21.0.2,tck-red-22",22
JDK-8322475,21.0.x,excluded,runtime_core,,対応不要,targets=linux; os_field=linux,non_windows11_platform,Extend printing for System.map,hotspot,runtime,"jdk21u-fix-request,jdk21u-fix-yes,nmt,redhat-interest",24
JDK-8325203,21.0.x,needs_review,compiler_tools,performance_regression,要確認,,,System.exit(0) kills the launched 3rd party application,tools,jpackage,"additional-information-received,dcsaw,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok,jdk22u-fix-request,jdk22u-fix-yes,regression,reproducer-yes,sn_162,webbug",23
JDK-8325851,21.0.x,excluded,classlib,,対応不要,keywords=test; labels=noreg-self,doc_or_test,Hide PassFailJFrame.Builder constructor,client-libs,,"cleanup,cssn24_03_01,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self,pfjf-framework,sustaining",23
JDK-8326586,21.0.x,needs_review,runtime_core,,要確認,,,Improve Speed of System.map,hotspot,runtime,"jdk21u-fix-request,jdk21u-fix-yes,nmt",23
JDK-8327501,21.0.x,needs_review,classlib,,要確認,,,Common ForkJoinPool prevents class unloading in some cases,core-libs,java.util.concurrent,"amazon-interest,jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok,jdk22u-fix-request,jdk22u-fix-yes,redhat-interest,regression",23
JDK-8328366,21.0.x,needs_review,classlib,spec_change,要確認,,,Thread.setContextClassloader from thread in FJP commonPool task no longer works after JDK-8327501,core-libs,java.util.concurrent,"jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok,jdk22u-fix-request,jdk22u-fix-yes,redhat-interest,regression",23
JDK-8331942,21.0.x,excluded,runtime_core,,対応不要,targets=linux,non_windows11_platform,"On Linux aarch64, CDS archives should be using 64K alignment by default",hotspot,runtime,"cds,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok,jdk22u-fix-request,jdk22u-fix-yes",23
JDK-8332717,21.0.x,excluded,gc,,対応不要,"keywords=test; labels=hgupdate-sync | targets=linux; os_field=linux | component=hotspot/gc; keywords=\bgc\b,\bzgc\b","doc_or_test,non_windows11_platform,gc_related",ZGC: Division by zero in heuristics,hotspot,gc,"amazon-interest,genzgc,hgupdate-sync,jdk21u-fix-request,jdk21u-fix-yes,ubsan",24
JDK-8334305,21.0.x,excluded,runtime_core,,対応不要,keywords=test; labels=noreg-self,doc_or_test,Remove all code for  nsk.share.Log verbose mode,hotspot,test,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self",24
JDK-8335860,21.0.x,excluded,runtime_core,,対応不要,"keywords=problemlist,test; labels=noreg-self",doc_or_test,compiler/vectorization/TestFloat16VectorConvChain.java fails with non-standard AVX/SSE settings,hotspot,compiler,"jdk21u-fix-request,jdk21u-fix-yes,noreg-self,oracle-triage-24,problemlist,regression,tier2",24
JDK-8337664,unknown,needs_review,security,,要確認,,,Distrust TLS server certificates issued after Oct 2024 and anchored by Entrust Root CAs,security-libs,javax.net.ssl,"CPU24_10-critical-SQE-OK,CPU24_10-critical-approved,jdk11u-critical-request,jdk11u-critical-yes,jdk17u-critical-request,jdk17u-critical-yes,jdk21u-critical-request,jdk21u-critical-yes,jdk23u-fix-SQE-ok,jdk23u-fix-request,jdk23u-fix-yes,jdk8u-critical-request,jdk8u-critical-yes,release-note=yes",24
JDK-8337966,21.0.6,excluded,interop,performance_regression,対応不要,targets=linux; os_field=linux,non_windows11_platform,(fs) Files.readAttributes fails with Operation not permitted on older docker releases,core-libs,java.nio,"23-na,24-na,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes",21.0.6
JDK-8338058,21.0.x,needs_review,runtime_core,,要確認,,,map_or_reserve_memory_aligned Windows enhance remap assertion,hotspot,runtime,"jdk11u-fix-no,jdk11u-fix-request,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk23u-fix-SQE-ok-next,jdk23u-fix-request,jdk23u-fix-yes",24
JDK-8338748,21.0.6,excluded,interop,test_infra,対応不要,"keywords=jtreg,test; labels=noreg-self",doc_or_test,"[17u,21u] Test Disconnect.java compile error: cannot find symbol after JDK-8299813",core-libs,java.nio,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self",21.0.6
JDK-8339080,21.0.6,needs_review,security,,要確認,,,Bump update version for OpenJDK: jdk-21.0.6,infrastructure,release_eng,"jdk21u-fix-request,jdk21u-fix-yes",21.0.6
JDK-8339146,21.0.6,needs_review,runtime_core,,要確認,,,Exclude Fingerprinter::do_type from ubsan checks,hotspot,runtime,,21.0.6
JDK-8339147,21.0.6,needs_review,runtime_core,,要確認,,,SeenThread::print_action_queue called on a null pointer,hotspot,runtime,,21.0.6
JDK-8339254,21.0.6,needs_review,security,,要確認,,,CAInterop.java#actalisauthenticationrootca conflicted with /manual and /timeout,security-libs,java.security,,21.0.6
JDK-8339272,21.0.6,needs_review,runtime_core,,要確認,,,AArch64: enable tests compiler/intrinsics/Test(Long|Integer)UnsignedDivMod.java on aarch64,hotspot,compiler,,21.0.6
JDK-8339273,21.0.6,needs_review,runtime_core,,要確認,,,"RISC-V: compiler/intrinsics/TestInteger/LongUnsignedDivMod.java failed with ""counts: Graph contains wrong number of nodes""",hotspot,compiler,,21.0.6
JDK-8339315,21.0.6,needs_review,runtime_core,,要確認,,,[test] runtime/os/TestTracePageSizes move ppc handling,hotspot,runtime,,21.0.6
JDK-8339323,21.0.6,needs_review,runtime_core,,要確認,,,map_or_reserve_memory_aligned Windows enhance remap assertion,hotspot,runtime,,21.0.6
JDK-8339397,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: C2: Change C calling convention for sp to NS,hotspot,compiler,,21.0.6
JDK-8339475,21.0.x,needs_review,compiler_tools,,要確認,,,Clean up return code handling for pthread calls in library coding,tools,launcher,"jdk21u-fix-request,jdk21u-fix-yes",24
JDK-8339585,21.0.6,needs_review,runtime_core,,要確認,,,remove old remap assertion in map_or_reserve_memory_aligned  after JDK-8338058,hotspot,runtime,,21.0.6
