issue_id,category,rules,details
JDK-8225377,review,,
JDK-8279016,excluded,gc_related,keywords=\bshenandoah\b; labels=gc-shenandoah
JDK-8320001,review,,
JDK-8326586,review,,
JDK-8331942,excluded,non_windows11_platform,targets=linux
JDK-8341257,excluded,doc_or_test,"keywords=open source,test; labels=noreg-self"
JDK-8341779,review,,
JDK-8350412,review,,
JDK-8350610,review,,
JDK-8350856,review,,
JDK-8350862,review,,
JDK-8350948,excluded,gc_related,keywords=\bgc\b
JDK-8350949,excluded,gc_related,keywords=\bgc\b
JDK-8350950,review,,
JDK-8351030,excluded,gc_related,keywords=\bshenandoah\b
JDK-8351031,review,,
JDK-8351190,review,,
JDK-8351191,excluded,gc_related,component=hotspot/gc; keywords=\bgc\b
JDK-8351340,review,,
JDK-8351341,review,,
JDK-8351358,review,,
JDK-8351506,excluded,doc_or_test,"keywords=open source,test"
JDK-8351507,review,,
JDK-8351508,excluded,non_windows11_platform,targets=linux
JDK-8351510,excluded,non_windows11_platform,targets=macos
JDK-8351511,excluded,doc_or_test,"keywords=open source,test"
JDK-8351512,review,,
JDK-8351521,review,,
JDK-8351522,excluded,doc_or_test,"keywords=open source,test"
JDK-8351527,review,,
JDK-8351528,review,,
JDK-8351531,excluded,non_windows11_platform,targets=aix
JDK-8351532,excluded,non_windows11_platform,targets=macos
JDK-8351533,excluded,non_windows11_platform,targets=macos
JDK-8351538,review,,
JDK-8351557,review,,
JDK-8351559,excluded,gc_related,component=hotspot/gc; keywords=\bgc\b
JDK-8351637,excluded,non_windows11_platform,targets=linux
JDK-8351684,review,,
JDK-8351830,excluded,doc_or_test,"keywords=open source,test"
JDK-8351831,excluded,gc_related,component=hotspot/gc
JDK-8351872,review,,
JDK-8351879,review,,
JDK-8351899,excluded,gc_related,component=hotspot/gc; keywords=\bgc\b
JDK-8351920,review,,
JDK-8351924,review,,
JDK-8351934,review,,
JDK-8351960,review,,
JDK-8352000,review,,
JDK-8352025,excluded,doc_or_test,"keywords=open source,test"
JDK-8352026,review,,
JDK-8352028,excluded,doc_or_test,"keywords=open source,test"
JDK-8352029,review,,
JDK-8352030,excluded,doc_or_test,"keywords=open source,test"
JDK-8352031,excluded,doc_or_test,"keywords=open source,test"
JDK-8352032,excluded,doc_or_test,"keywords=open source,test"
JDK-8352033,excluded,doc_or_test,"keywords=open source,test"
JDK-8352034,excluded,doc_or_test,"keywords=open source,test"
JDK-8352035,excluded,doc_or_test,"keywords=open source,test"
JDK-8352036,excluded,doc_or_test,"keywords=open source,test"
JDK-8352041,excluded,doc_or_test,"keywords=open source,test"
JDK-8352051,excluded,doc_or_test,"keywords=open source,test"
JDK-8352076,excluded,"doc_or_test,gc_related","keywords=problemlist,test; labels=noreg-self | keywords=\bgc\b,\bshenandoah\b"
JDK-8352103,excluded,doc_or_test,"keywords=open source,test"
JDK-8352104,excluded,doc_or_test,"keywords=open source,test"
JDK-8352167,review,,
JDK-8352183,review,,
JDK-8352220,review,,
JDK-8352221,excluded,doc_or_test,"keywords=open source,test"
JDK-8352225,excluded,doc_or_test,"keywords=open source,test"
JDK-8352227,excluded,non_windows11_platform,targets=macos
JDK-8352230,review,,
JDK-8352232,review,,
JDK-8352233,excluded,non_windows11_platform,targets=linux
JDK-8352234,review,,
