issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8225377,21.0.x,needs_review,compiler_tools,,要確認,,,type annotations are not visible to javac plugins across compilation boundaries,tools,javac,"javac-plugin,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,type-annotations",22
JDK-8279016,21.0.x,excluded,runtime_core,,対応不要,keywords=\bshenandoah\b; labels=gc-shenandoah,gc_related,JFR Leak Profiler is broken with Shenandoah,hotspot,jfr,"amazon-interest,gc-shenandoah,jdk21u-fix-request,jdk21u-fix-yes,redhat-interest",24
JDK-8320001,21.0.x,needs_review,compiler_tools,performance_regression,要確認,,,javac crashes while adding type annotations to the return type of a constructor,tools,javac,"amazon-interest,conformance,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,regression,tck-red-21.0.2,tck-red-22",22
JDK-8326586,21.0.x,needs_review,runtime_core,,要確認,,,Improve Speed of System.map,hotspot,runtime,"jdk21u-fix-request,jdk21u-fix-yes,nmt",23
JDK-8331942,21.0.x,excluded,runtime_core,,対応不要,targets=linux,non_windows11_platform,"On Linux aarch64, CDS archives should be using 64K alignment by default",hotspot,runtime,"cds,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jdk22u-fix-SQE-ok,jdk22u-fix-request,jdk22u-fix-yes",23
JDK-8341257,21.0.x,excluded,classlib,,対応不要,"keywords=open source,test; labels=noreg-self",doc_or_test,Open source few DND tests - Set1,client-libs,java.awt,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self,sn_179,test_sprint",24
JDK-8341779,21.0.8,needs_review,compiler_tools,,要確認,,,[REDO BACKPORT] type annotations are not visible to javac plugins across compilation boundaries (JDK-8225377),tools,javac,"22-na,javac-plugin,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,type-annotations",21.0.8
JDK-8350412,21.0.8,needs_review,runtime_core,,要確認,,,[21u] AArch64: Ambiguous frame layout leads to incorrect traces in JFR,hotspot,compiler,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,jfr,sustaining",21.0.8
JDK-8350610,21.0.8,needs_review,interop,,要確認,,,HttpClient: improve HTTP/2 flow control checks,core-libs,java.net,,21.0.8
JDK-8350856,21.0.8,needs_review,runtime_core,,要確認,,,[PPC64] Make intrinsic conversions between bit representations of half precision values and floats,hotspot,compiler,,21.0.8
JDK-8350862,21.0.8,needs_review,runtime_core,,要確認,,,Output JVMTI agent information in hserr files,hotspot,jvmti,,21.0.8
JDK-8350948,21.0.8,excluded,interop,,対応不要,keywords=\bgc\b,gc_related,UpcallLinker::on_exit races with GC when copying frame anchor,core-libs,java.lang.foreign,hgupdate-sync,21.0.8
JDK-8350949,21.0.8,excluded,interop,,対応不要,keywords=\bgc\b,gc_related,UpcallLinker::on_entry racingly clears pending exception with GC safepoints,core-libs,java.lang.foreign,hgupdate-sync,21.0.8
JDK-8350950,21.0.8,needs_review,interop,,要確認,,,ProgrammableUpcallHandler::on_entry/on_exit access thread fields from native,core-libs,java.lang.foreign,hgupdate-sync,21.0.8
JDK-8351030,21.0.8,excluded,runtime_core,,対応不要,keywords=\bshenandoah\b,gc_related,JFR Leak Profiler is broken with Shenandoah,hotspot,jfr,,21.0.8
JDK-8351031,21.0.8,needs_review,runtime_core,,要確認,,,Problemlist jdk/jfr/event/oldobject/TestShenandoah.java after JDK-8279016,hotspot,jfr,,21.0.8
JDK-8351190,21.0.8,needs_review,interop,,要確認,,,[JMH] time.format.ZonedDateTimeFormatterBenchmark fails,core-libs,java.util:i18n,,21.0.8
JDK-8351191,21.0.8,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bgc\b,gc_related,3 gc/epsilon tests ignore external vm options,hotspot,gc,,21.0.8
JDK-8351340,21.0.8,needs_review,runtime_core,,要確認,,,secondary_super_cache does not scale well,hotspot,compiler,,21.0.8
JDK-8351341,21.0.8,needs_review,runtime_core,,要確認,,,Out-of-bounds array access in secondary_super_cache,hotspot,runtime,,21.0.8
JDK-8351358,21.0.8,needs_review,runtime_core,,要確認,,,Corrupted timezone string in JVM crash log,hotspot,runtime,,21.0.8
JDK-8351506,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several Swing CSS related tests,client-libs,javax.swing,,21.0.8
JDK-8351507,21.0.8,needs_review,classlib,,要確認,,,ColorConvertOp - typo for non-ICC conversions needs one-line fix,client-libs,2d,,21.0.8
JDK-8351508,21.0.8,excluded,runtime_core,,対応不要,targets=linux,non_windows11_platform,[Testbug] g-tests for cgroup leave files in /tmp on linux,hotspot,runtime,,21.0.8
JDK-8351510,21.0.8,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,[macos] Menu or JPopupMenu not closed when main window is resized,client-libs,javax.swing,,21.0.8
JDK-8351511,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open Source several AWT/2D font and rendering tests,client-libs,,,21.0.8
JDK-8351512,21.0.8,needs_review,security,,要確認,,,Jarsigner should print a warning if an entry is removed,security-libs,java.security,hgupdate-sync,21.0.8
JDK-8351521,21.0.8,needs_review,classlib,,要確認,,,sun/awt/font/TestDevTransform.java fails with RuntimeException: Different rendering,client-libs,2d,,21.0.8
JDK-8351522,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several Choice related tests (part 2),client-libs,,,21.0.8
JDK-8351527,21.0.8,needs_review,classlib,,要確認,,,Update List/ItemEventTest/ItemEventTest.java,client-libs,java.awt,,21.0.8
JDK-8351528,21.0.8,needs_review,classlib,,要確認,,,Update PipeWire to 1.3.81,client-libs,java.awt,,21.0.8
JDK-8351531,21.0.8,excluded,classlib,,対応不要,targets=aix,non_windows11_platform,AIX build failure after upgrade pipewire to 1.3.81,client-libs,java.awt,,21.0.8
JDK-8351532,21.0.8,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,"[Accessibility,macOS,VoiceOver] VoiceOver doesn't announce untick on toggling the checkbox with ""space"" key on macOS",client-libs,javax.accessibility,,21.0.8
JDK-8351533,21.0.8,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,"[Accessibility,macOS,Screen Magnifier]: JCheckbox unchecked state does not magnify but works for checked state",client-libs,javax.accessibility,,21.0.8
